,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Southwest Airlines Co.,899557.0,1024492.0,1212982.0,1380472.0,1533683.0,1457532.0,1723537.0,1417547.0,864300.0,983752.0,1076053.0,1232354.0
Delta Air Lines Inc.,792723.0,592305.0,642566.0,692279.0,797439.0,1240917.0,1110622.0,1095093.0,572814.0,501880.0,793869.0,486447.0
American Airlines Inc.,748535.0,773925.0,692375.0,745591.0,1116095.0,1304102.0,1572740.0,1451561.0,1040992.0,1089852.0,917560.0,887599.0
SkyWest Airlines Inc,1213626.0,978847.0,796779.0,734391.0,1017590.0,1145498.0,1033943.0,1332586.0,723744.0,820598.0,978872.0,1063401.0
United Air Lines Inc,416094.0,410104.0,481282.0,573714.0,829833.0,1004625.0,1096185.0,1305124.0,684943.0,641406.0,792599.0,666686.0
Republic Airline,303200.0,262772.0,235476.0,317523.0,335203.0,409118.0,417273.0,442236.0,306434.0,285656.0,327639.0,271236.0
JetBlue Airways,554163.0,338702.0,498375.0,585666.0,498212.0,428872.0,637128.0,685496.0,358339.0,329540.0,505973.0,481126.0
Envoy Air,302254.0,309598.0,183536.0,243160.0,339988.0,440201.0,366704.0,378708.0,277622.0,278694.0,293740.0,315073.0
PSA Airlines Inc,343525.0,364153.0,264414.0,285667.0,395613.0,495369.0,416560.0,432482.0,265632.0,220826.0,282277.0,244835.0
Endeavor Air Inc.,277718.0,289230.0,247746.0,331184.0,265593.0,318213.0,365067.0,438438.0,260435.0,225961.0,299685.0,285574.0
