,delay,on-time_and_adv,total_flights
WN,0.4896100112971627,0.5103899887028372,1.0
F9,0.4439705086016579,0.5560294913983421,1.0
B6,0.40949804924428707,0.5905019507557129,1.0
OH,0.3592080644408293,0.6407919355591707,1.0
AA,0.3460425078914245,0.6539574921085756,1.0
G4,0.3417341328815955,0.6582658671184045,1.0
VX,0.3044708545557442,0.6955291454442558,1.0
DL,0.30134322430718763,0.6986567756928124,1.0
UA,0.2977789933474375,0.7022210066525625,1.0
NK,0.28991133966783594,0.7100886603321641,1.0
MQ,0.28079634866098424,0.7192036513390158,1.0
YV,0.2795972817447406,0.7204027182552594,1.0
AS,0.2693592555368834,0.7306407444631166,1.0
EV,0.2653112524027798,0.7346887475972201,1.0
9E,0.2633002191796419,0.7366997808203581,1.0
OO,0.26203372271316316,0.7379662772868368,1.0
HA,0.25996440643550756,0.7400355935644924,1.0
YX,0.239453952988073,0.760546047011927,1.0
