,op_sch,fl_sp,arr_delay_rate,arr_delay,score
F9,0.9806056566834673,100,0.9850876827591952,14.213311436910223,0.03353477363445277
B6,0.9789547883675945,100,0.9844693616602734,11.432515667085351,0.04098097138851239
G4,0.9920079816256326,100,0.9732179046154166,9.98351752248088,0.04749068455295229
EV,0.9720538222682241,100,0.9839666814530041,8.80069995879603,0.051625340782502395
YV,0.9742955684258476,100,0.9784463925480389,8.853066085110045,0.05173018032937921
OH,0.957372233414854,100,0.9775441091443203,8.237350630587244,0.05425626830125822
OO,0.9862944155879386,100,0.9796043852703075,7.04414061062361,0.06404498824085751
UA,0.9921118467095155,100,0.9815787568476346,5.764874820097087,0.07643708911969829
MQ,0.9640034999881757,100,0.9799223651271448,5.357279690119755,0.0791315618201697
AA,0.98369905477423,100,0.9802523510664057,5.432064851861034,0.07978980555890977
NK,0.9901406532030106,100,0.9823019900328077,5.171453347805363,0.08354682528117119
9E,0.9741579476002066,100,0.9949698475501897,4.4527776720261585,0.09203028274688962
WN,0.98648850469335,100,0.9777938297381542,4.519644279965065,0.09338604359004384
YX,0.9680470752001012,100,0.9842608117941093,3.076687458231232,0.12328499794674815
VX,0.9754951895868704,100,0.9830786644029429,1.7279776132454965,0.18543682432928904
HA,0.9970139627103664,100,0.9649797546671763,0.8513103448275862,0.28080464159828195
DL,0.9962835108181649,100,0.981880008385276,-0.2898254677449602,0.714413549718133
AS,0.9910197305512266,100,0.9801188960005859,-0.5015618633709086,1.0
