,CARRIER_DELAY,WEATHER_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
AS,0.9072707343807088,0.06890756302521009,0.02382170259408111,0.0
OO,0.8039650782102583,0.19125136413241178,0.004783557657329938,0.0
UA,0.8466053272108961,0.15330836023407965,8.631255502425383e-05,0.0
WN,0.9518585838642052,0.0414864025179877,0.006655013617807098,0.0
NK,0.8631261517842185,0.11970179259507455,0.017172055620706984,0.0
VX,0.9464285714285714,0.030032467532467532,0.02353896103896104,0.0
B6,0.9542290619548509,0.03841304385374026,0.007357894191408881,0.0
DL,0.8284065510840605,0.1700529087166795,0.0015405401992600355,0.0
OH,0.8304285870875808,0.16154225583689577,0.008029157075523402,0.0
MQ,0.7602022390754785,0.2347417840375587,0.005055976886962802,0.0
G4,0.8501334251527933,0.13643797882413705,0.01342859602306964,0.0
F9,0.9683495445422263,0.03165045545777366,0.0,0.0
9E,0.8519832471051983,0.14673564917467358,0.0012811037201281104,0.0
EV,0.9252682403433476,0.07473175965665237,0.0,0.0
YX,0.8560394412489729,0.13944124897288415,0.0045193097781429745,0.0
HA,0.9295437358205193,0.06188555583564406,0.008570708343836652,0.0
AA,0.8730606104545784,0.11977996084970638,0.007159428695715218,0.0
YV,0.8289175527279066,0.16110336412759282,0.00997908314450061,0.0
