,dep_delay,arr_delay,total_flights,state
FL,11.54836553378029,6.475103801914509,555081,FL
LA,9.644612268800937,5.516812579477649,82010,LA
IL,12.727484668559924,9.793323089817013,430725,IL
AZ,8.70960844782742,3.864186637489853,198773,AZ
KS,8.972379696769941,5.661747187293184,15170,KS
WI,8.57592540077068,3.843612113918973,60021,WI
IA,8.482914961848945,5.641434851675348,27179,IA
AL,9.13436273226904,5.858241873654361,38235,AL
WA,6.142891787710924,0.593901323490843,156692,WA
NH,6.044618880396612,0.1333748185023854,9686,NH
MS,9.253922378199835,6.2886341665515815,14538,MS
ND,8.270376783901595,4.810762224352828,16760,ND
NM,8.43043558169454,3.7070267880172447,27205,NM
MO,9.216583187496228,4.164845717050893,132655,MO
NE,7.501986754966888,3.407851080920616,28707,NE
VA,10.741025874455259,5.951605420002617,252803,VA
AR,8.599019779450376,5.127592378145068,28579,AR
AK,-2.1276667707357686,-4.916527458759657,38436,AK
MI,8.712511826527221,2.868307046292503,196043,MI
MA,12.603147866529367,6.436878075451066,146778,MA
CA,8.640244756045723,3.708250244005129,785762,CA
KY,10.063224524344019,6.395827958574429,81765,KY
TT,10.628542510121457,8.009118541033434,988,TT
SC,9.346078877857728,4.583453513207616,54932,SC
CT,8.292674390115852,1.9844599572034938,28586,CT
MT,5.916235525991624,1.5534681366490335,20295,MT
SD,11.559029649595688,8.622320302648172,11131,SD
MN,7.6393905633675585,1.5068862383772115,166407,MN
OR,5.8554074819838915,1.3831120552310143,75488,OR
GA,9.687015100756863,3.5049869598069563,411706,GA
OK,7.717900835547894,4.33702930376557,41772,OK
NV,9.807621681539787,4.209179952652897,178622,NV
TN,10.603242195769349,5.432275339602926,122919,TN
ME,11.51712350854563,6.733557524413115,15556,ME
VI,7.847229840921558,0.618242306626005,3646,VI
WY,8.03010937692024,5.812584824182603,8137,WY
WV,15.081437125748502,11.591796875,6692,WV
OH,10.079262886997236,5.878310437309739,116311,OH
MD,11.354047666886727,4.552148826867045,104557,MD
RI,8.748115957973486,2.954282247835438,18180,RI
ID,5.187736179827808,1.1839578454332553,25669,ID
NY,11.817144257065328,3.958709935363497,376700,NY
UT,6.066241163606774,-0.02328469947679612,117978,UT
CO,10.489261357595273,5.753852656590928,263348,CO
IN,9.974424668063238,5.726600018121961,66439,IN
NJ,14.838183059638185,9.070948024919275,145008,NJ
HI,1.3224045210099353,-0.5377734777886292,109710,HI
TX,10.711593778227021,6.797735959892915,744073,TX
PA,10.411891782983915,5.359153507984927,178770,PA
NC,11.192079986623481,7.643782415564434,323243,NC
VT,11.542540604496073,7.672770357604481,9343,VT
PR,12.442427826858388,5.926177233963664,27053,PR
